Time, TempBase, WarpMax, T_Tip_Peel, T_Tip_Shear, T_Tip_SEQV, T_Tip_Strain, T_Avg_Peel, T_Avg_Shear, B_Tip_Peel, B_Tip_Shear, B_Tip_SEQV, B_Tip_Strain, B_Avg_Peel, B_Avg_Shear, Die_SX, Die_SY_Max
0.1, 119.770416, -8.510533212E-02, -27.6230238, -4.5625309, 29.9599112, 1.675898702E-03, -2.158064612E-03, -2.42487908, -7.72676392, -2.1692868, 23.4925801, 1.743336185E-03, -1.996086505E-02, -2.46383275, 57.3017879, -74.7892746
0.2, 119.336937, -8.35595045E-02, -27.0047275, -4.28731573, 29.1512381, 1.641268032E-03, -1.747551172E-03, -2.36289702, -7.62226102, -2.15261155, 23.2435026, 1.728231472E-03, -1.929712656E-02, -2.40820219, 56.358016, -72.7165758
0.35, 116.154266, -7.970882379E-02, -24.8050452, -3.39845992, 26.3765756, 1.506279431E-03, -6.699089688E-04, -2.13635918, -7.26681628, -2.06242861, 22.2791939, 1.663526119E-03, -1.751049863E-02, -2.20038328, 53.5328126, -66.6792043
0.575, 102.491951, -7.140602989E-02, -17.900669, -0.908122747, 18.2728587, 1.1135627E-03, -1.504769322E-03, -1.44330498, -6.14168187, -1.68242366, 18.8340288, 1.424301606E-03, -1.313933991E-02, -1.5517255, 46.2419443, -51.3376163
0.9125, 102.491951, -7.140291948E-02, -17.8320809, -0.950981898, 18.2172869, 1.12649928E-03, -1.691619888E-03, -1.44394435, -6.08870416, -1.6693468, 18.7788019, 1.42431425E-03, -1.298045331E-02, -1.55101183, 46.2444978, -51.331263
1.4125, 88.1811142, -6.467628419E-02, -11.0076983, 1.35948925, 11.5029187, 8.755849522E-04, -2.672556274E-03, -0.787121895, -4.99355929, -1.21829316, 15.1417945, 1.176567659E-03, -1.03577178E-02, -0.929803609, 39.7155428, -37.5249523
1.9125, 88.1811142, -6.467012964E-02, -10.9643617, 1.28149379, 11.4178358, 8.839004352E-04, -2.857116466E-03, -0.789099715, -4.93430484, -1.20041175, 15.077384, 1.176038652E-03, -1.017115267E-02, -0.928974178, 39.7223721, -37.5358413
2.4125, 76.0994644, -6.023636831E-02, -5.52054029, 3.0959722, 9.16910879, 8.709237508E-04, -3.495201577E-03, -0.288608382, -4.005318, -0.874175437, 12.3848624, 9.912660505E-04, -8.096207182E-03, -0.453682657, 34.5286942, -26.6178744
2.9125, 76.0994644, -6.022904478E-02, -5.52237544, 3.0088733, 8.99948216, 8.742124527E-04, -3.597684775E-03, -0.291250816, -3.96197404, -0.857470422, 12.3349508, 9.903845228E-04, -7.964243038E-03, -0.453007101, 34.5377131, -26.6422915
3.4125, 66.2420578, -5.735520645E-02, -1.2562906, 4.41997632, 10.9205222, 9.80083248E-04, -3.543108153E-03, 8.327939725E-02, -3.19525755, -0.629900345, 10.4043284, 8.577450785E-04, -6.891208445E-03, -9.638483781E-02, 30.4120197, -17.9900191
3.9125, 66.2420578, -5.734557549E-02, -1.29227474, 4.32640702, 10.6966461, 9.835359274E-04, -4.075520172E-03, 7.997612354E-02, -3.16360065, -0.614153562, 10.3664156, 8.566111754E-04, -6.251077076E-03, -9.590776608E-02, 30.4230652, -18.0507431
4.4125, 58.2751617, -5.551824714E-02, 2.03851618, 5.42136431, 13.5118616, 1.114031466E-03, -4.085576332E-03, 0.359154464, -2.53775471, -0.456887533, 8.99922403, 7.636817045E-04, -5.382389326E-03, 0.170693746, 27.135644, -11.1942207
4.9125, 58.2751617, -5.55078915E-02, 1.9781054, 5.3252538, 13.2716298, 1.119003035E-03, -4.409412261E-03, 0.3557041, -2.51598418, -0.441729562, 8.96984075, 7.623795209E-04, -4.965225792E-03, 0.171157951, 27.1476307, -11.2523454
5.4125, 51.8389359, -5.438357192E-02, 4.58087402, 6.17537753, 15.8647383, 1.245513023E-03, -4.459528942E-03, 0.564155116, -2.00683815, -0.333734266, 8.01174933, 7.000512164E-04, -4.295884202E-03, 0.370868096, 24.515379, -5.79077721
5.9125, 51.8389359, -5.437303126E-02, 4.50326801, 6.07869979, 15.618162, 1.252145857E-03, -4.658780395E-03, 0.560644958, -1.99255677, -0.319217264, 7.98922196, 6.987660922E-04, -4.015734416E-03, 0.371295619, 24.5277328, -5.84771226
6.4125, 46.6239929, -5.37179473E-02, 6.54253755, 6.73945302, 17.7939694, 1.36817265E-03, -4.730863907E-03, 0.716894756, -1.57819684, -0.245459852, 7.32554811, 6.618233743E-04, -3.513691247E-03, 0.521582729, 22.4088011, -1.47342788
6.9125, 46.6239929, -5.370755074E-02, 6.45324745, 6.6437088, 17.5461601, 1.376385056E-03, -4.853718926E-03, 0.713392814, -1.56966108, -0.231584536, 7.30842058, 6.609355858E-04, -3.318922019E-03, 0.521962998, 22.4211493, -1.52961709
7.4125, 42.3814125, -5.336183622E-02, 8.05611795, 7.15770208, 19.3141326, 1.480743378E-03, -4.934933914E-03, 0.831099674, -1.23187124, -0.181426176, 6.85505106, 6.423459504E-04, -2.947682002E-03, 0.635728746, 20.70645, 1.99251946
7.9125, 42.3814125, -5.335178749E-02, 7.95933605, 7.06400535, 19.0686106, 1.490337516E-03, -5.010200912E-03, 0.827656857, -1.22777308, -0.168181557, 6.84213013, 6.418622669E-04, -2.807200678E-03, 0.636058459, 20.7185473, 1.93708958
8.4125, 38.9151726, -5.320624655E-02, 9.22309739, 7.46388005, 20.4853635, 1.582894535E-03, -5.092135675E-03, 0.916819526, -0.951869823, -0.134148139, 6.53771395, 6.333933666E-04, -2.534309586E-03, 0.722754959, 19.3241148, 4.78713635
8.9125, 38.9151726, -5.319666973E-02, 9.12200541, 7.37303827, 20.2447389, 1.593571203E-03, -5.137459029E-03, 0.913472637, -0.951205696, -0.121524026, 6.52805757, 6.331509669E-04, -2.42916358E-03, 0.723034676, 19.3358035, 4.73267117
9.4125, 36.0716476, -5.31770932E-02, 10.1210361, 7.68383638, 21.3718416, 1.674748669E-03, -5.215069427E-03, 0.981402061, -0.725467232, -9.840076199E-02, 6.32808178, 6.304873364E-04, -2.228519002E-03, 0.789574363, 18.1967201, 7.04920149
9.9125, 36.0716476, -5.31680594E-02, 10.0180399, 7.59641435, 21.1380448, 1.686181263E-03, -5.241423925E-03, 0.978176742, -0.727455158, -8.639009664E-02, 6.32096421, 6.304066399E-04, -2.14696839E-03, 0.789806588, 18.2079043, 6.99596278
10.4125, 33.7302361, -5.322443119E-02, 10.8093521, 7.83741985, 22.0304013, 1.756911129E-03, -5.312061933E-03, 1.03022769, -0.542531512, -7.056494683E-02, 6.19337849, 6.312036499E-04, -1.998642693E-03, 0.84125144, 17.2736621, 8.88630145
10.9125, 33.7302361, -5.321597531E-02, 10.7062609, 7.75379427, 21.8048259, 1.768808207E-03, -5.326358154E-03, 1.0271409, -0.546555722, -5.916230259E-02, 6.18824956, 6.312448694E-04, -1.933272034E-03, 0.841439647, 17.2842853, 8.83454206
11.4125, 31.7958031, -5.331498216E-02, 11.3337582, 7.93992666, 22.5083116, 1.830294537E-03, -5.388910368E-03, 1.06724834, -0.394966201, -4.815358934E-02, 6.11019962, 6.340395788E-04, -1.822515433E-03, 0.881508032, 16.5153213, 10.3823989
11.9125, 31.7958031, -5.330711424E-02, 11.2319228, 7.86032814, 22.2919186, 1.842420972E-03, -5.395523868E-03, 1.06431042, -0.400538173, -3.735323912E-02, 6.10664512, 6.341792388E-04, -1.768555157E-03, 0.88165603, 16.5253563, 10.332332
12.4125, 30.1928673, -5.342692855E-02, 11.7296056, 8.00318915, 22.8438702, 1.895907569E-03, -5.449842747E-03, 1.09537839, -0.276266574, -2.94721914E-02, 6.06200671, 6.380301541E-04, -1.684658989E-03, 0.913090954, 15.8904642, 11.6034594
12.9125, 30.1928673, -5.341964166E-02, 11.630019, 7.92773631, 22.6372773, 1.908082289E-03, -5.451582825E-03, 1.09259469, -0.282997067, -1.926688642E-02, 6.05971357, 6.382522957E-04, -1.638985148E-03, 0.913202626, 15.8999041, 11.5552509
