Trial_ID,P1,P2,P3,P4,P5,P6,WarpMax,T_Tip_Peel,T_Tip_Shear,T_Tip_SEQV,T_Tip_Strain,T_Avg_Peel,T_Avg_Shear,B_Tip_Peel,B_Tip_Shear,B_Tip_SEQV,B_Tip_Strain,B_Avg_Peel,B_Avg_Shear,Die_SX,Die_SY_Max
BO_Trial_0000,0.9125998575710156,0.08793350082575566,0.6877196748348252,0.21937250174888911,1.2938175730811965,0.04632418136141448,-0.15880208,-33.378803,9.663166,34.942028,0.0035325405,0.007903997,-3.014649,-4.58688,-2.5448847,24.996567,0.0016780976,0.009908086,-2.8696597,65.912895,-99.20557
BO_Trial_0001,0.8178844251219421,0.0845604282164199,0.672053466905662,0.24118967201253147,1.212638345880904,0.07879940310126357,-0.16578017,-40.04408,-15.802192,50.029396,0.003811712,0.08923681,-4.1991715,-5.7845397,-4.198446,29.903849,0.0022106455,0.001386043,-4.1790886,82.21406,-82.694016
BO_Trial_0002,1.0496500823915662,0.05847233051606322,0.6218644485746899,0.1365708592647747,1.3826628004299468,0.061037781622126294,-0.14307588,-40.64815,6.6064105,43.484,0.0038289174,0.03376852,-3.1142,-4.7152743,-3.1632144,32.402386,0.0022604687,0.00021360797,-3.1174884,63.86889,-87.63626
BO_Trial_0003,0.9297811440795853,0.06162004269390187,0.6733387914982688,0.12781507581401713,1.3754115023320097,0.054717837547418297,-0.14692445,-35.82912,7.806334,37.674843,0.0036628842,0.06310854,-2.6904335,-7.6427097,-2.990589,30.163225,0.0021046335,0.013631844,-2.7478106,61.867725,-91.93323
BO_Trial_0004,0.9370017462761588,0.08132852085958124,0.6240009517243557,0.20253834701967416,1.5553932925759082,0.04195337146752791,-0.124543704,-35.180344,5.150152,37.537502,0.003152967,0.015120944,-2.8901124,-4.301418,-2.3197286,26.92081,0.0017791047,0.0076659876,-2.7306592,61.96634,-94.107544
BO_Trial_0005,0.9823381741741006,0.05680391253512293,0.6078866756803379,0.2892077761283146,1.779099840624891,0.0723550541898468,-0.09897329,-37.706486,1.9418668,42.744263,0.0035639545,0.06015102,-2.8714478,-10.218859,-2.7662282,30.226429,0.0022383467,-0.05857117,-3.0688248,63.36251,-75.812454
BO_Trial_0006,0.8916709011135899,0.05389711734885472,0.6820026932735052,0.1877664072516765,1.2734497179659603,0.05985755871343968,-0.16238745,-35.011063,10.124971,38.752975,0.0040718713,0.025062494,-3.0552516,-7.7468195,-3.5164201,29.89075,0.0021602036,-0.011489665,-3.0364945,67.54504,-88.86811
BO_Trial_0007,0.8107924843697849,0.0862818840429434,0.631075963797522,0.23210694350018402,1.387139619007993,0.06085071404499465,-0.14210676,-30.567581,8.553538,32.314404,0.0032349983,0.0092198225,-2.8118858,-6.248049,-2.670423,25.45483,0.0018256165,0.009449454,-2.637534,61.23983,-85.88879
BO_Trial_0008,0.9641303866074437,0.05737569277546853,0.7161592799434177,0.25456148497820624,1.763435665573575,0.0758036112820632,-0.10617362,-39.428936,6.2413473,40.97236,0.0035817144,0.031303484,-2.7159288,-2.5379212,-1.889151,28.005747,0.0016331583,-0.034998164,-2.740418,57.274822,-89.64337
BO_Trial_0009,0.9794514636581578,0.08678278197742235,0.6106925524956147,0.13907898276637756,1.2274092369729765,0.053080680197454246,-0.16287443,-35.318634,10.404117,39.08338,0.0034197376,0.05932701,-3.3631043,-4.6317244,-3.020405,28.110762,0.002002318,0.018505376,-3.2786028,71.364815,-93.84859
BO_Trial_0010,0.8066446917593286,0.07321237391603426,0.6515682706610325,0.2859659658063971,1.5839690483790532,0.06935461394174036,-0.11788398,-31.562874,5.07668,34.57968,0.0030805583,0.02190573,-2.8381763,-9.930165,-2.5991685,27.662039,0.0019638645,-0.023761163,-2.7842298,60.65382,-76.37266
BO_Trial_0011,1.0483610866831121,0.07748283178568562,0.6520400700169925,0.16158101761307317,1.2097316283018131,0.05081053435033955,-0.16715072,-36.2976,8.295942,38.445435,0.0036997767,0.073966935,-3.1756604,-4.984085,-3.0321984,28.680897,0.0020169616,0.019437805,-3.1631997,68.48854,-95.9875
BO_Trial_0012,1.0848457406884546,0.07614818523487346,0.6544722916306018,0.17196352651234795,1.206781424521143,0.048792357995069854,-0.16650236,-36.071815,8.296415,37.898777,0.0037707835,0.05966335,-3.1932518,-6.167083,-3.025087,28.509901,0.0020118554,0.015158685,-3.1381114,68.098564,-97.11926
BO_Trial_0013,1.0884423221558495,0.07432637471758535,0.6493088138410769,0.16893133280250439,1.460946730824607,0.04734217884406198,-0.14000341,-36.78185,10.032961,38.118893,0.0035921272,0.018641777,-3.0243843,-6.479688,-2.6551325,28.350958,0.0019804437,-0.00095395866,-2.9550729,63.041298,-95.35471
BO_Trial_0014,1.032712757893883,0.06647327623255603,0.6405449668363635,0.1683541780803035,1.3127070592811603,0.05097081601377746,-0.1558801,-38.53214,5.5015497,43.215458,0.0039531505,0.066750504,-3.494298,-1.8654535,-3.3742206,31.09709,0.0022541385,-0.0033617113,-3.5367446,70.74612,-93.21976
BO_Trial_0015,1.0996091778854165,0.0776735577384075,0.6608814529727716,0.11237652977599352,1.6786181245259626,0.04169599376586867,-0.120662324,-37.66133,6.7162886,38.710205,0.003312158,0.04358374,-2.8364289,-7.790375,-2.7996776,29.704271,0.002098173,0.018590998,-2.7639208,60.589745,-95.5655
BO_Trial_0016,1.0291976116015076,0.06675601429996213,0.6999772481841958,0.16246550914218974,1.4790118766741511,0.04761844058067481,-0.13973993,-36.981598,7.376105,39.427128,0.0037341176,0.06974447,-2.8337972,-6.776534,-2.775118,29.636274,0.0021092994,-0.008304565,-2.964032,62.436047,-96.94063
BO_Trial_0017,1.063462398485455,0.07791458916713014,0.659285040930424,0.1946559455214171,1.2127105527085569,0.05359427064420864,-0.1657433,-36.59437,8.410774,38.758957,0.0038009728,0.03692123,-3.3402915,-3.871607,-2.6861763,27.54585,0.0018422602,0.008654138,-3.1957254,69.15708,-96.24151
BO_Trial_0018,0.9987913675761414,0.07044125619975723,0.6386765417782184,0.1543011170266194,1.356378567838945,0.06573024603996586,-0.14929439,-34.326122,8.51633,36.815308,0.0036814278,0.014067224,-3.0090716,-7.73181,-3.2838774,29.192793,0.0021931776,-0.008249485,-2.9965272,63.74811,-85.77614
BO_Trial_0019,1.011787483547493,0.0801145829300269,0.6638500513346164,0.10246710621600204,1.2716323465256112,0.05799169566981367,-0.16374758,-38.697086,5.690051,40.8919,0.003719192,0.05703326,-3.5546012,-1.1628264,-3.9779093,30.452684,0.002284466,0.027010962,-3.5120492,69.648346,-93.90061
BO_Trial_0020,1.0686447518189255,0.07426903032694386,0.6929662388601401,0.1855590899493359,1.5515293544060627,0.049737375743593694,-0.13123085,-36.043186,8.035984,37.85913,0.0035679466,0.066295005,-2.9603605,-6.424025,-2.3999057,27.678123,0.0019181021,-0.011467153,-3.022418,63.057682,-94.626495
BO_Trial_0021,0.8564988401279834,0.08362205241431045,0.6693018196146239,0.2561009416816618,1.2220611050513317,0.0798959043476494,-0.16353133,-38.756626,-11.328523,46.962967,0.0037131163,0.07186575,-4.0329366,-6.063404,-3.7012413,28.691399,0.0020620865,-0.009748439,-4.0032387,78.68067,-82.57345
BO_Trial_0022,0.8585580589508803,0.0831360427385197,0.6778923605036589,0.21908655556803822,1.2033652685258045,0.044016995554495696,-0.1693558,-31.41744,9.567099,33.61163,0.0035312579,0.03746433,-3.010262,-7.6812644,-3.1319377,25.810335,0.0018720602,0.013984686,-2.9223456,68.58831,-95.35938
