Time, TempBase, WarpMax, T_Tip_Peel, T_Tip_Shear, T_Tip_SEQV, T_Tip_Strain, T_Avg_Peel, T_Avg_Shear, B_Tip_Peel, B_Tip_Shear, B_Tip_SEQV, B_Tip_Strain, B_Avg_Peel, B_Avg_Shear, Die_SX, Die_SY_Max
0.1, 119.829903, -9.739813179E-02, -38.831705, -5.51785515, 41.4228958, 2.22430572E-03, 8.857041327E-03, -2.78660143, -9.28844911, -1.42501852, 30.1426318, 2.170822574E-03, -3.819640801E-02, -2.88522476, 59.9956961, -87.9780849
0.2, 119.536339, -9.534706239E-02, -37.8378925, -5.18087263, 40.2213436, 2.172934199E-03, 9.298115454E-03, -2.70820316, -9.16870258, -1.38212311, 29.6696587, 2.142159381E-03, -3.678494729E-02, -2.81011701, 58.9267716, -85.3533526
0.35, 117.010712, -9.025133053E-02, -34.494325, -4.12557531, 36.2609316, 1.984432149E-03, 9.163361221E-03, -2.43843764, -8.78005384, -1.21179599, 27.9639753, 2.03379385E-03, -3.278837E-02, -2.54853144, 55.7579751, -77.8860302
0.575, 104.465836, -8.00074977E-02, -24.4999129, -1.28003558, 24.9594269, 1.441575259E-03, 5.71582275E-03, -1.6483132, -7.49282755, -0.687652271, 22.4946099, 1.67604661E-03, -2.456729249E-02, -1.77137446, 47.6699677, -59.259856
0.9125, 104.465836, -8.000542511E-02, -24.4154893, -1.32856207, 24.8916321, 1.458888309E-03, 5.823179902E-03, -1.64849175, -7.43447133, -0.680278252, 22.4320949, 1.675608937E-03, -2.459222869E-02, -1.7706193, 47.6715174, -59.2415294
1.4125, 90.5301437, -7.260071408E-02, -14.8178394, 1.22168137, 15.0881827, 1.06298081E-03, 1.111091852E-03, -0.922076452, -6.08648842, -0.180675305, 17.1216673, 1.330201222E-03, -1.865266159E-02, -1.04982621, 40.4737549, -42.8093142
1.9125, 90.5301437, -7.259709264E-02, -14.768255, 1.13874851, 15.0135493, 1.075191473E-03, 9.423706613E-04, -0.923148706, -6.02312612, -0.17148503, 17.0550575, 1.329365431E-03, -1.84734656E-02, -1.04904771, 40.4777174, -42.816602
2.4125, 78.4305267, -6.81424972E-02, -7.09733207, 3.11119, 9.88595769, 9.551997642E-04, -2.411580899E-03, -0.369156679, -4.79753428, 0.143374388, 13.078588, 1.06348726E-03, -1.396594049E-02, -0.496523388, 34.7879009, -29.9097968
2.9125, 78.4305267, -6.813793559E-02, -7.10548313, 3.02281799, 9.74366841, 9.597765247E-04, -2.512416627E-03, -0.370621132, -4.75424369, 0.152118062, 13.0322214, 1.062642605E-03, -1.383059189E-02, -0.495873228, 34.7932825, -29.9287307
3.4125, 68.4224854, -6.55397107E-02, -1.06170818, 4.54210499, 11.0890647, 1.026751715E-03, -4.723573297E-03, 4.585758633E-02, -3.69482345, 0.343332153, 10.0993343, 8.615760577E-04, -1.093283608E-02, -7.890699036E-02, 30.3003807, -19.7534637
