Time, TempBase, WarpMax, T_Tip_Peel, T_Tip_Shear, T_Tip_SEQV, T_Tip_Strain, T_Avg_Peel, T_Avg_Shear, B_Tip_Peel, B_Tip_Shear, B_Tip_SEQV, B_Tip_Strain, B_Avg_Peel, B_Avg_Shear, Die_SX, Die_SY_Max
0.1, 119.783188, -0.117491028, -33.9068222, -4.55442685, 35.6767878, 2.044702913E-03, 6.655320541E-03, -2.66414441, -4.17699885, -2.04007933, 24.0932808, 1.650919403E-03, -1.384990428E-02, -2.66638913, 60.7880268, -90.5175404
0.2, 119.365982, -0.114489005, -32.821039, -4.19008954, 34.3993914, 1.984661041E-03, 6.96831608E-03, -2.57125897, -4.12184752, -1.98351891, 23.6312955, 1.623810833E-03, -1.327071721E-02, -2.5825, 59.4931755, -87.1893364
0.35, 116.013115, -0.107181533, -29.2150166, -3.08254365, 30.2596258, 1.774375249E-03, 6.248772886E-03, -2.2599078, -3.93320956, -1.77568983, 22.0388787, 1.524650233E-03, -1.167492582E-02, -2.29662806, 55.7202954, -77.9324563
0.575, 100.94931, -9.321663723E-02, -18.9100697, -0.244393098, 19.104284, 1.226452712E-03, 3.297834781E-03, -1.39825873, -3.29596609, -1.17253906, 17.2946619, 1.219803584E-03, -8.946740739E-03, -1.49113292, 46.5100179, -55.9180744
0.9125, 100.94931, -9.321280853E-02, -18.8522666, -0.290877875, 19.0491309, 1.23999324E-03, 3.495364583E-03, -1.39874137, -3.26722284, -1.16569294, 17.2529425, 1.220174931E-03, -8.967882336E-03, -1.4903197, 46.5128527, -55.8993003
1.4125, 85.2571945, -8.387001094E-02, -9.44066918, 2.12129869, 10.615788, 9.612939477E-04, 7.515418966E-04, -0.650630193, -2.58487065, -0.650531346, 13.0722264, 9.509751821E-04, -6.848852482E-03, -0.783381858, 38.6827736, -37.346311
1.9125, 85.2571945, -8.38621002E-02, -9.42987566, 2.03914233, 10.5259735, 9.679831047E-04, 7.570847113E-04, -0.652316991, -2.55472233, -0.640821293, 13.0256801, 9.507818935E-04, -6.831431395E-03, -0.782397471, 38.6897163, -37.354821
2.4125, 72.3256912, -7.864702295E-02, -2.17220915, 3.83653299, 9.7508111, 1.021697352E-03, 2.630710636E-04, -0.103793351, -1.94259038, -0.312141551, 10.1413358, 7.620427751E-04, -5.766387141E-03, -0.261067045, 32.7619133, -23.3048572
2.9125, 72.3256912, -7.863660767E-02, -2.21767666, 3.74673006, 9.53764953, 1.025500009E-03, -1.006518135E-03, -0.10648552, -1.9216477, -0.303024426, 10.1088067, 7.614464646E-04, -4.739878658E-03, -0.260375163, 32.7717228, -23.3983768
3.4125, 62.1103783, -7.590214747E-02, 3.30541263, 5.08058371, 13.2331561, 1.189409536E-03, -1.346647884E-03, 0.289952417, -1.40071432, -9.935062158E-02, 8.16573774, 6.342668745E-04, -3.760518842E-03, 0.118235341, 28.2786322, -12.7599484
3.9125, 62.1103783, -7.588968332E-02, 3.22142614, 4.98800244, 12.9902885, 1.195487911E-03, -1.982121889E-03, 0.287153936, -1.38835593, -8.946454525E-02, 8.14015396, 6.333531595E-04, -3.150894798E-03, 0.118968327, 28.2897587, -12.8386965
4.4125, 54.1366959, -7.465339515E-02, 7.4166271, 5.97921424, 16.6909409, 1.369899846E-03, -2.317240635E-03, 0.573142481, -0.954736072, 3.260473687E-02, 6.85674802, 5.552589225E-04, -2.268433952E-03, 0.393359412, 24.8611279, -4.72334215
4.9125, 54.1366959, -7.464010799E-02, 7.30634454, 5.88620461, 16.438315, 1.37894059E-03, -2.642597651E-03, 0.570299774, -0.948683375, 4.285000939E-02, 6.8370522, 5.545155453E-04, -1.90367243E-03, 0.394076014, 24.872777, -4.79490477
5.4125, 47.910244, -7.429762838E-02, 10.5031836, 6.62537633, 19.5181498, 1.540875236E-03, -2.930364881E-03, 0.777467142, -0.59088621, 0.112441327, 6.01087114, 5.137726473E-04, -1.166020994E-03, 0.593816695, 22.2323723, 1.45593894
5.9125, 47.910244, -7.428424279E-02, 10.3756402, 6.5336249, 19.2622234, 1.552670873E-03, -3.101322756E-03, 0.774632419, -0.589533878, 0.122833996, 5.99582704, 5.133869412E-04, -9.392874191E-04, 0.594487187, 22.2440538, 1.38776562
6.4125, 43.020874, -7.445813747E-02, 12.8248074, 7.08709261, 21.7100201, 1.696272435E-03, -3.333282455E-03, 0.925800875, -0.295222787, 0.159288192, 5.48501464, 4.93665301E-04, -3.402575174E-04, 0.741045363, 20.1903048, 6.2505996
6.9125, 43.020874, -7.444505829E-02, 12.6866474, 6.99777309, 21.4550283, 1.710270511E-03, -3.42386892E-03, 0.923016653, -0.297399202, 0.16969968, 5.47349193, 4.934770677E-04, -1.931402183E-04, 0.741657256, 20.2017326, 6.18437319
7.4125, 39.1522713, -7.489911857E-02, 14.5742574, 7.41373468, 23.3721961, 1.834528721E-03, -3.604280859E-03, 1.03432572, -5.553812804E-02, 0.185765168, 5.17765352, 4.857181586E-04, 2.894859098E-04, 0.850269295, 18.5883965, 10.0038656
7.9125, 39.1522713, -7.488657711E-02, 14.430353, 7.32763325, 23.1213179, 1.850089436E-03, -3.65170919E-03, 1.03162334, -6.035864088E-02, 0.196098509, 5.16872398, 4.856419999E-04, 3.891840413E-04, 0.850818892, 18.599401, 9.93919399
8.4125, 36.0666885, -7.547422792E-02, 15.893516, 7.64109354, 24.6160921, 1.956464754E-03, -3.788748367E-03, 1.11440528, 0.138344051, 0.200091877, 5.01525969, 4.852843741E-04, 7.787540814E-04, 0.932207399, 17.3201227, 12.9659538
8.9125, 36.0666885, -7.54623528E-02, 15.7474294, 7.55871291, 24.3716904, 1.973029217E-03, -3.812490119E-03, 1.11180627, 0.131561036, 0.210265672, 5.00819276, 4.852368206E-04, 8.491767518E-04, 0.932695405, 17.3306086, 12.9028792
9.4125, 33.5865822, -7.609436923E-02, 16.8872148, 7.79519443, 25.5358041, 2.063948653E-03, -3.914810545E-03, 1.17401343, 0.294756528, 0.207538649, 4.94485181, 4.91002427E-04, 1.165575638E-03, 0.994396804, 16.3075149, 15.3206265
9.9125, 33.5865822, -7.608322457E-02, 16.7415402, 7.71682965, 25.2995713, 2.081080255E-03, -3.925351727E-03, 1.17153152, 0.286542303, 0.217483227, 4.93909991, 4.908938854E-04, 1.217243643E-03, 0.994826082, 16.3174353, 15.2593398
10.4125, 31.579031, -7.670708433E-02, 17.6328381, 7.89505987, 26.2057868, 2.159042005E-03, -4.000701709E-03, 1.2187621, 0.420488225, 0.21141444, 4.92980211, 5.020014495E-04, 1.476161134E-03, 1.04215212, 15.4929769, 17.2041212
10.9125, 31.579031, -7.66966925E-02, 17.4894485, 7.82085617, 25.9788783, 2.176412245E-03, -4.003829314E-03, 1.21640507, 0.411259432, 0.221071699, 4.92498489, 5.019656711E-04, 1.515382294E-03, 1.04252654, 15.5023142, 17.1448349
11.4125, 29.9438019, -7.728321525E-02, 18.1881845, 7.95468881, 26.6836333, 2.243629224E-03, -4.058659179E-03, 1.25262222, 0.521071864, 0.21373794, 4.94608372, 5.139886216E-04, 1.728852165E-03, 1.07924152, 14.8335009, 18.7185111
11.9125, 29.9438019, -7.727357143E-02, 18.0484154, 7.88468424, 26.4667847, 2.260995049E-03, -4.057608541E-03, 1.25039353, 0.511156161, 0.223061255, 4.94195528, 5.14028304E-04, 1.759524949E-03, 1.07956532, 14.8422557, 18.6614086
