Time, TempBase, WarpMax, T_Tip_Peel, T_Tip_Shear, T_Tip_SEQV, T_Tip_Strain, T_Avg_Peel, T_Avg_Shear, B_Tip_Peel, B_Tip_Shear, B_Tip_SEQV, B_Tip_Strain, B_Avg_Peel, B_Avg_Shear, Die_SX, Die_SY_Max
0.1, 119.829407, -0.120207772, -34.3154709, -5.023428, 36.6592385, 1.974755054E-03, 1.469865966E-02, -2.89017869, -6.10932929, -2.32847913, 28.0479362, 1.962049367E-03, -1.603624604E-02, -2.95496898, 61.8899441, -84.544202
0.2, 119.528412, -0.116865049, -33.2229604, -4.62614091, 35.319673, 1.914820259E-03, 1.481818465E-02, -2.78758907, -6.06041177, -2.24528532, 27.4377081, 1.92654863E-03, -1.538041637E-02, -2.85948742, 60.5330524, -81.4070304
0.35, 116.811928, -0.108786579, -29.713544, -3.44223375, 31.1269256, 1.713544464E-03, 1.335181894E-02, -2.45623513, -5.89583476, -1.96576979, 25.4554337, 1.805158809E-03, -1.356041927E-02, -2.54718605, 56.6251702, -72.7723743
0.575, 103.123375, -9.410798345E-02, -19.8728213, -0.490618645, 20.1139877, 1.20155818E-03, 8.489600769E-03, -1.56372951, -5.17079666, -1.26050337, 19.9035172, 1.453246582E-03, -1.022070895E-02, -1.69106843, 47.1895933, -52.4691795
0.9125, 103.123375, -9.410507974E-02, -19.8077352, -0.538380246, 20.0572967, 1.214980113E-03, 8.707967211E-03, -1.56412573, -5.122668, -1.25159397, 19.8423226, 1.453593203E-03, -1.025185775E-02, -1.69006637, 47.1919446, -52.4494576
1.4125, 88.1015167, -8.497436089E-02, -10.795429, 1.93348873, 11.6201875, 9.338840809E-04, 4.420712595E-03, -0.792434513, -4.2025363, -0.712622313, 15.020409, 1.14616016E-03, -7.372186123E-03, -0.941002928, 39.1978283, -35.4135972
1.9125, 88.1015167, -8.49674093E-02, -10.7707334, 1.84956201, 11.5320778, 9.411749502E-04, 4.428360011E-03, -0.793998504, -4.15065165, -0.700286, 14.9519816, 1.145904853E-03, -7.358714915E-03, -0.939811734, 39.2041397, -35.4184533
2.4125, 75.3351059, -8.024097193E-02, -3.72377437, 3.68859031, 9.62773826, 9.532983048E-04, 2.484523098E-03, -0.221976799, -3.25525672, -0.384326223, 11.5098381, 9.207641968E-04, -5.645294181E-03, -0.380734044, 33.1540651, -22.5224269
2.9125, 75.3351059, -8.023159573E-02, -3.75288005, 3.59727589, 9.42555505, 9.565907695E-04, 1.524190685E-03, -0.224546541, -3.21853723, -0.372855447, 11.4608217, 9.200486843E-04, -4.58596353E-03, -0.379937763, 33.1631498, -22.5999455
3.4125, 65.0402908, -7.805689993E-02, 1.68768818, 4.96459687, 12.5628886, 1.083173155E-03, 6.022372842E-05, 0.194231384, -2.41684662, -0.198241515, 9.03616532, 7.575253218E-04, -3.066616161E-03, 3.166033191E-02, 28.5708694, -12.8165716
